"Step","polar-music-6 - train/loss","polar-music-6 - train/loss__MIN","polar-music-6 - train/loss__MAX"
"1881","0.8886","0.8886","0.8886"
"1882","0.087","0.087","0.087"
"1884","0.409","0.409","0.409"
"1885","0.409","0.409","0.409"
"1886","0.8557","0.8557","0.8557"
"1889","0.2686","0.2686","0.2686"
"1895","1.0552","1.0552","1.0552"
"1896","0.8134","0.8134","0.8134"
"1900","0.8186","0.8186","0.8186"
"1901","0.8186","0.8186","0.8186"
"1902","1.3004","1.3004","1.3004"
"1904","0.8976","0.8976","0.8976"
"1905","0.8976","0.8976","0.8976"
"1909","0.9609","0.9609","0.9609"
"1910","1.2788","1.2788","1.2788"
"1911","1.2788","1.2788","1.2788"
"1913","1.1559","1.1559","1.1559"
"1915","0.4524","0.4524","0.4524"
"1919","0.8652","0.8652","0.8652"
"1925","1.1257","1.1257","1.1257"
"1926","1.0916","1.0916","1.0916"
"1930","0.8663","0.8663","0.8663"
"1934","0.3445","0.3445","0.3445"
"1935","0.3445","0.3445","0.3445"
"1937","1.9131","1.9131","1.9131"
"1938","0.6478","0.6478","0.6478"
"1939","0.6478","0.6478","0.6478"
"1940","1.1726","1.1726","1.1726"
"1943","1.1794","1.1794","1.1794"
"1944","0.8503","0.8503","0.8503"
"1947","0.3198","0.3198","0.3198"
"1948","1.2726","1.2726","1.2726"
"1949","1.2726","1.2726","1.2726"
"1955","1.2623","1.2623","1.2623"
"1956","1.5291","1.5291","1.5291"
"1960","0.9656","0.9656","0.9656"
"1963","1.106","1.106","1.106"
"1964","0.853","0.853","0.853"
"1967","1.5098","1.5098","1.5098"
"1970","1.1606","1.1606","1.1606"
"1975","0.6872","0.6872","0.6872"
"1982","0.4334","0.4334","0.4334"
"1983","0.4334","0.4334","0.4334"
"1986","0.72","0.72","0.72"
"1991","0.4859","0.4859","0.4859"
"1992","1.2333","1.2333","1.2333"
"1993","1.2333","1.2333","1.2333"
"1996","0.8999","0.8999","0.8999"
"2001","0.6754","0.6754","0.6754"
"2007","0.422","0.422","0.422"
"2008","1.92","1.92","1.92"
"2012","0.433","0.433","0.433"
"2014","1.3504","1.3504","1.3504"
"2020","0.4378","0.4378","0.4378"
"2021","0.4378","0.4378","0.4378"
"2028","0.3529","0.3529","0.3529"
"2030","1.329","1.329","1.329"
"2031","1.329","1.329","1.329"
"2038","0.6019","0.6019","0.6019"
"2039","0.6019","0.6019","0.6019"
"2040","1.0077","1.0077","1.0077"
"2042","0.3119","0.3119","0.3119"
"2046","0.2998","0.2998","0.2998"
"2050","0.2832","0.2832","0.2832"
"2053","0.7278","0.7278","0.7278"
"2054","0.2556","0.2556","0.2556"
"2056","1.822","1.822","1.822"
"2061","0.641","0.641","0.641"
"2062","0.4175","0.4175","0.4175"
"2066","0.5017","0.5017","0.5017"
"2067","0.5017","0.5017","0.5017"
"2069","0.1427","0.1427","0.1427"
"2071","0.157","0.157","0.157"
"2082","0.5285","0.5285","0.5285"
"2095","0.553","0.553","0.553"
"2105","0.5832","0.5832","0.5832"
"2111","0.1963","0.1963","0.1963"
"2114","1.0544","1.0544","1.0544"
"2116","0.7755","0.7755","0.7755"
"2119","1.8632","1.8632","1.8632"
"2120","1.2039","1.2039","1.2039"
"2124","0.3685","0.3685","0.3685"
"2125","0.3685","0.3685","0.3685"
"2129","0.2836","0.2836","0.2836"
"2132","0.5481","0.5481","0.5481"
"2134","0.8094","0.8094","0.8094"
"2136","0.4596","0.4596","0.4596"
"2139","0.9145","0.9145","0.9145"
"2140","1.1909","1.1909","1.1909"
"2156","0.9948","0.9948","0.9948"
"2166","0.3684","0.3684","0.3684"
